Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.064102,0.13058,0.075146,0,0,0,7,0.054205,5.3255E-05,0.003306,0.049215,1.0185E-06,0.077749,0,0,0,0,0,0,package://auriga/meshes/base_link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://auriga/meshes/base_link.STL,,Differential Bar-1;pull_joint_with_ball-1;pull_joint_with_ball-2;Chassis-1;Slide Slit Glass-1;Battery Pack-1;Jetson Nano with Cooling Fan-1;BTS7960 43A HIGH POWER H BRIDGE MODULE-1;BTS7960 43A HIGH POWER H BRIDGE MODULE-3;BTS7960 43A HIGH POWER H BRIDGE MODULE-5;BTS7960 43A HIGH POWER H BRIDGE MODULE-6;BTS7960 43A HIGH POWER H BRIDGE MODULE-7;BTS7960 43A HIGH POWER H BRIDGE MODULE-8,Global_Coordinate_System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rocker_1_link,-0.076932,-0.010223,-0.086892,0,0,0,1.5,0.00055446,-0.00019575,-0.00089962,0.0036801,-7.225E-05,0.0032548,0,0,0,0,0,0,package://auriga/meshes/rocker_1_link.STL,0.42745,0.44706,0.42745,1,0,0,0,0,0,0,package://auriga/meshes/rocker_1_link.STL,,Rocker Right triangular-1,rocker_1_cs,rocker_1_joint,rocker_1_joint,fixed,-0.033,-0.0349903674977046,0.0926549569145568,0,0,0,base_link,0,0,0,,,,,,,,,,,,
bogie_1_link,-0.00063117,-0.014617,-0.067982,0,0,0,1.3,0.00018539,-2.4832E-07,9.7781E-06,0.0012984,-2.6746E-05,0.0012385,0,0,0,0,0,0,package://auriga/meshes/bogie_1_link.STL,0.42745,0.44706,0.42745,1,0,0,0,0,0,0,package://auriga/meshes/bogie_1_link.STL,,Bogie Right Triangular-1,bogie_1_cs,bogie_1_joint,bogie_1_joint,revolute,0.10013,-0.02051,-0.053968,0,0,0,rocker_1_link,0,1,0,10,5,-0.785,0.785,,,,,,,,
wheel_5_link,-2.0878E-07,0.0041615,5.2366E-08,0,0,0,1,0.0014002,-1.0049E-08,3.9839E-08,0.0021983,8.9136E-09,0.0014002,0,0,0,0,0,0,package://auriga/meshes/wheel_5_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://auriga/meshes/wheel_5_link.STL,,Wheel Assembly-2,wheel_5_cs,wheel_5_joint,wheel_5_joint,continuous,-0.090727,-0.10265,-0.077849,0,0,0,bogie_1_link,0,1,0,,,,,,,,,,,,
wheel_6_link,0.38939,-0.010839,-0.00083276,0,0,0,1,0.0014001,-1.1975E-08,3.1911E-08,0.0021983,6.0868E-09,0.0014002,0,0,0,0,0,0,package://auriga/meshes/wheel_6_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://auriga/meshes/wheel_6_link.STL,,Wheel Assembly-1,wheel_6_cs,wheel_6_joint,wheel_6_joint,continuous,-0.30013,-0.08765,-0.078687,0,0,0,bogie_1_link,0,1,0,,,,,,,,,,,,
wheel_4_link,-0.38939,0.019161,0.00083282,0,0,0,1,0.0014001,1.3224E-08,1.2945E-08,0.0021983,-2.3574E-09,0.0014002,0,0,0,0,0,0,package://auriga/meshes/wheel_4_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://auriga/meshes/wheel_4_link.STL,,Wheel Assembly-3,wheel_4_cs,wheel_4_joint,wheel_4_joint,continuous,0.18939,-0.12316,-0.13349,0,0,0,rocker_1_link,0,1,0,,,,,,,,,,,,
rocker_2_link,-0.10993,0.31637,0.0057628,0,0,0,1.5,0.00055446,0.00019575,-0.00089962,0.0036801,7.225E-05,0.0032548,0,0,0,0,0,0,package://auriga/meshes/rocker_2_link.STL,0.42745,0.44706,0.42745,1,0,0,0,0,0,0,package://auriga/meshes/rocker_2_link.STL,,Rocker Left triangular-1,Global_Coordinate_System,rocker_2_joint,rocker_2_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
bogie_2_link,-0.00022018,0.014617,-0.067984,0,0,0,1.3,0.00018531,8.6623E-08,3.4111E-06,0.0012984,2.6747E-05,0.0012386,0,0,0,0,0,0,package://auriga/meshes/bogie_2_link.STL,0.42745,0.44706,0.42745,1,0,0,0,0,0,0,package://auriga/meshes/bogie_2_link.STL,,Bogie Left Triangular-1,bogie_2_cs,bogie_2_joint,bogie_2_joint,revolute,0.0670443300803985,0.326654617315038,0.0386879525429506,0,0,0,rocker_2_link,0,-1,0,10,5,-0.785,0.785,,,,,,,,
wheel_2_link,1.1827E-07,-0.0041615,1.7985E-07,0,0,0,1,0.0014002,-1.366E-09,-9.1487E-09,0.0021983,-1.3363E-08,0.0014001,0,0,0,0,0,0,package://auriga/meshes/wheel_2_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://auriga/meshes/wheel_2_link.STL,,Wheel Assembly-4,wheel_2_cs,wheel_2_joint,wheel_2_joint,continuous,-0.090254,0.10265,-0.078396,0,0,0,bogie_2_link,0,-1,0,,,,,,,,,,,,
wheel_1_link,-5.2503E-08,-0.0041615,2.0875E-07,0,0,0,1,0.0014002,8.9202E-09,3.9846E-08,0.0021983,-1.0043E-08,0.0014002,0,0,0,0,0,0,package://auriga/meshes/wheel_1_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://auriga/meshes/wheel_1_link.STL,,Wheel Assembly-6,wheel_1_cs,wheel_1_joint,wheel_1_joint,continuous,0.089745,0.10265,-0.078979,0,0,0,bogie_2_link,0,-1,0,,,,,,,,,,,,
