Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.13058,-0.075146,-0.064102,0,0,0,7.2522,0.049215,1.0185E-06,-5.3255E-05,0.077749,-0.003306,0.054205,0,0,0,0,0,0,package://auriga_v8/meshes/base_link.STL,0.2,0.2,0.2,1,0,0,0,0,0,0,package://auriga_v8/meshes/base_link.STL,,Differential Bar-1;pull_joint_with_ball-1;pull_joint_with_ball-2;Chassis-1;Slide Slit Glass-1;Battery Pack-1;Jetson Nano with Cooling Fan-1;BTS7960 43A HIGH POWER H BRIDGE MODULE-1;BTS7960 43A HIGH POWER H BRIDGE MODULE-3;BTS7960 43A HIGH POWER H BRIDGE MODULE-5;BTS7960 43A HIGH POWER H BRIDGE MODULE-6;BTS7960 43A HIGH POWER H BRIDGE MODULE-7;BTS7960 43A HIGH POWER H BRIDGE MODULE-8,Global_Coordinate_System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
rocker_1_link,-0.00319427397416952,0.0774063348676216,0.0514223730363776,0,0,0,0.157115010617485,0.0029864627992537,1.12349826817264E-05,3.1664433625397E-05,0.00259908313149434,-0.000678181482698449,0.000411909267858246,0,0,0,0,0,0,package://auriga_v8/meshes/rocker_1_link.STL,0.427450980392157,0.447058823529412,0.427450980392157,1,0,0,0,0,0,0,package://auriga_v8/meshes/rocker_1_link.STL,,Rocker Right triangular-1,rocker_1_cs,rocker_1_joint,rocker_1_joint,fixed,0.03499,-0.092655,-0.033,3.1416,0,3.1416,base_link,0,0,0,,,,,,,,,,,,
bogie_1_link,0.0023959,-0.061899,-0.00023965,0,0,0,0.109,0.00075509,4.3842E-06,1.6974E-08,0.00066525,2.1776E-06,0.00010281,0,0,0,0,0,0,package://auriga_v8/meshes/bogie_1_link.STL,0.42745,0.44706,0.42745,1,0,0,0,0,0,0,package://auriga_v8/meshes/bogie_1_link.STL,,Bogie Right Triangular-1,bogie_1_cs,bogie_1_joint,bogie_1_joint,revolute,-0.02051,0.053967,-0.099947,0,0,3.1416,rocker_1_link,-1,0,0,10,5,-0.785,0.785,,,,,,,,
wheel_5_link,0.00416147173779097,-9.28831021262955E-08,1.94176211321812E-07,0,0,0,0.926156136524473,0.00219829054546711,-1.07358910102717E-08,8.07356099787813E-09,0.00140016164031924,3.89529542945175E-08,0.00140018200801187,0,0,0,0,0,0,package://auriga_v8/meshes/wheel_5_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://auriga_v8/meshes/wheel_5_link.STL,,Wheel Assembly-2,wheel_5_cs,wheel_5_joint,wheel_5_joint,continuous,0.10265,-0.079036,0.089695,0,0,3.1416,bogie_1_link,-1,0,0,,,,,,,,,,,,
wheel_6_link,0.0041615,-0.00034885,-0.39025,0,0,0,0.92616,0.0021983,9.9644E-09,-9.0085E-09,0.0014002,4.0148E-08,0.0014002,0,0,0,0,0,0,package://auriga_v8/meshes/wheel_6_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://auriga_v8/meshes/wheel_6_link.STL,,Wheel Assembly-1,wheel_6_cs,wheel_6_joint,wheel_6_joint,continuous,0.10265,-0.078688,0.29995,0,0,3.1416,bogie_1_link,-1,0,0,,,,,,,,,,,,
wheel_4_link,0.00416147173779091,0.000348722601230034,0.39025104440836,0,0,0,0.926156136524472,0.00219829054546711,-1.32650632923669E-08,-2.11656297334914E-09,0.00140013325413858,-1.15497356200624E-08,0.00140021039419254,0,0,0,0,0,0,package://auriga_v8/meshes/wheel_4_link.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://auriga_v8/meshes/wheel_4_link.STL,,Wheel Assembly-3,wheel_4_cs,wheel_4_joint,wheel_4_joint,continuous,-0.12316,0.13231,-0.19025,0,0,0,rocker_1_link,-1,0,0,,,,,,,,,,,,
rocker_2_link,-0.30934,-0.015249,-0.084422,0,0,0,0.15712,0.0029865,1.1235E-05,-3.1664E-05,0.0025991,0.00067818,0.00041191,0,0,0,0,0,0,package://auriga_v8/meshes/rocker_2_link.STL,0.42745,0.44706,0.42745,1,0,0,0,0,0,0,package://auriga_v8/meshes/rocker_2_link.STL,,Rocker Left triangular-1,Global_Coordinate_System,rocker_2_joint,rocker_2_joint,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
bogie_2_link,0.00239591308301151,0.0617953988436242,0.00358741675136703,0,0,0,0.108995977851336,0.0007550940265459,-4.37688335423889E-06,-2.54091808736551E-07,0.000663370668469634,3.25430149906427E-05,0.000104686998401709,0,0,0,0,0,0,package://auriga_v8/meshes/bogie_2_link.STL,0.427450980392157,0.447058823529412,0.427450980392157,1,0,0,0,0,0,0,package://auriga_v8/meshes/bogie_2_link.STL,,Bogie Left Triangular-1,bogie_2_cs,bogie_2_joint,bogie_2_joint,revolute,-0.32665,-0.038665,0.067793,3.1416,0,3.1416,rocker_2_link,-1,0,0,10,5,-0.785,0.785,,,,,,,,
wheel_2_link,-2.1518E-07,-5.3832E-09,-0.0041615,0,0,0,0.92616,0.0014001,3.1138E-08,1.2067E-08,0.0014002,-5.9011E-09,0.0021983,0,0,0,0,0,0,package://auriga_v8/meshes/wheel_2_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://auriga_v8/meshes/wheel_2_link.STL,,Wheel Assembly-4,wheel_2_cs,wheel_2_joint,wheel_2_joint,continuous,0.10265,0.07334,0.094409,0,-1.5708,0,bogie_2_link,0,0,1,,,,,,,,,,,,
wheel_1_link,-0.0041615,-2.0875E-07,5.2503E-08,0,0,0,0.92616,0.0021983,1.0043E-08,-8.9202E-09,0.0014002,3.9846E-08,0.0014002,0,0,0,0,0,0,package://auriga_v8/meshes/wheel_1_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://auriga_v8/meshes/wheel_1_link.STL,,Wheel Assembly-6,wheel_1_cs,wheel_1_joint,wheel_1_joint,continuous,0.10265,0.0837717629834123,-0.0852883163107575,0,0,0,bogie_2_link,1,0,0,,,,,,,,,,,,
